0,Aquatics,Swimming,2021-07-25T07:00:00,July 25 (07:00 IST),USA,Chase Kalisz,USA,Jay Litherland,AUS,Brendon Smith,"Men's 400m Individual Medley, Final"
1,Aquatics,Swimming,2021-07-25T07:22:00,July 25 (07:22 IST),TUN,Ahmed Hafnaoui,AUS,Jack Mcloughlin,USA,Kieran Smith,"Men's 400m Freestyle, Final"
2,Aquatics,Swimming,2021-07-25T07:42:00,July 25 (07:42 IST),JPN,Yui Ohashi,USA,Emma Weyant,USA,Hali Flickinger,"Women's 400m Individual Medley, Final"
3,Aquatics,Swimming,2021-07-26T07:00:00,July 26 (07:00 IST),CAN,Margaret Mac Neil,CHN,Yufei Zhang,AUS,Emma Mckeon,"Women's 100m Butterfly, Final"
4,Aquatics,Swimming,2021-07-26T07:42:00,July 26 (07:42 IST),GBR,Adam Peaty,NED,Arno Kamminga,ITA,Nicolo Martinenghi,"Men's 100m Breaststroke, Final"
5,Aquatics,Swimming,2021-07-26T07:50:00,July 26 (07:50 IST),AUS,Ariarne Titmus,USA,Katie Ledecky,CHN,Bingjie Li,"Women's 400m Freestyle, Final"
6,Aquatics,Swimming,2021-07-26T08:35:00,July 26 (08:35 IST),USA,,ITA,,AUS,,"Men's 4 x 100m Freestyle Relay, Final"
7,Aquatics,Swimming,2021-07-26T07:13:00,July 27 (07:13 IST),GBR,Tom Dean,GBR,Duncan Scott,BRA,Fernando Scheffer,"Men's 200m Freestyle, Final"
8,Aquatics,Swimming,2021-07-27T07:21:00,July 27 (07:21 IST),AUS,Kaylee Mckeown,CAN,Kylie Masse,USA,Regan Smith,"Women's 100m Backstroke, Final"
9,Aquatics,Swimming,2021-07-27T07:29:00,July 27 (07:29 IST),ROC,Evgeny Rylov,ROC,Kliment Kolesnikov,USA,Ryan Murphy,"Men's 100m Backstroke, Final"
10,Aquatics,Swimming,2021-07-27T07:47:00,July 27 (07:47 IST),USA,Lydia Jacoby,RSA,Tatjana Schoenmaker,USA,Lilly King,"Women's 100m Breaststroke, Final"
